"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"87-007",17,"020","EAST","BELLA MINA","087","PHY 764WRF*","1536","1",4.50594113428452,0.855244983013025,1.28194121491959,88.1195880600304,6.26774327895727,38.6917876427503,8.46817083591422,77.4906006891793,10.1132354986126,NA,NA
"87-008",17,"020","EAST","BELLA MINA","087","PHY 764WRF*","1536","2",4.46338971049911,0.850295264738484,1.27461108570821,88.0547446993234,5.81028298406294,36.4823497816626,8.89954143738801,77.5106890257638,10.1953530318365,NA,NA
"87-011",17,"020","EAST","BELLA MINA","087","DP 1522B2XF","1537","1",5.0405336521331,0.854728910813271,1.23640571360642,87.3390343915221,6.62235607523331,30.5683639290087,9.9119733533787,77.3566784452827,9.56184572764345,NA,NA
"87-012",17,"020","EAST","BELLA MINA","087","DP 1522B2XF","1537","2",5.15263679375474,0.858220577433154,1.20025526988364,86.4604941169804,6.68614439138726,29.6546318373455,9.74381453539556,76.1817615760943,9.91030148560038,NA,NA
"87-017",17,"020","EAST","BELLA MINA","087","PHY 330W3FE","1542","1",4.51536655010109,0.855497965185016,1.2714596175783,88.407228607468,5.94841224411237,36.2783699393506,8.31847349278867,77.4323373467699,9.72553834821407,NA,NA
"87-018",17,"020","EAST","BELLA MINA","087","PHY 330W3FE","1542","2",4.93853481907106,0.862125009632387,1.25121550656192,88.4219980175664,6.23185281695674,33.5236667908083,8.67001896952587,76.9643722664386,9.72412145891294,NA,NA
"71-001",17,"020","EAST","GRIFFIN, GA","153","PHY 499WRF*","1404","1",4.9,0.86,1.13,84.8,6.7,31.1,9.2,70.5,7,79.1852842760768,13.8461538461538
"71-002",17,"020","EAST","GRIFFIN, GA","153","PHY 499WRF*","1404","2",4.5,0.84,1.13,86.2,6.2,31.5,9.6,69.6,7.6,82.2604470937336,13.8668913226622
"71-015",17,"020","EAST","GRIFFIN, GA","153","PHY 444WRF","1459","1",4.26,0.84,1.17,84.6,6.5,27.9,9.5,64,7,NA,NA
"71-016",17,"020","EAST","GRIFFIN, GA","153","PHY 444WRF","1459","2",3.69,0.84,1.26,86.4,6,33.4,8.1,67.1,6.9,NA,NA
"71-019",17,"020","EAST","GRIFFIN, GA","153","ST 4946GLB2","1468","1",4.37,0.85,1.13,85.6,6.6,30.8,8,72.5,7.4,NA,NA
"71-020",17,"020","EAST","GRIFFIN, GA","153","ST 4946GLB2","1468","2",4.22,0.84,1.14,83.3,7.1,32.1,9.3,72.7,7.2,NA,NA
"71-013",17,"020","EAST","GRIFFIN, GA","153","DP 1553B2XF","1507","1",4.79,0.85,1.12,84.9,7.5,32,10.2,66.2,6.9,NA,NA
"71-014",17,"020","EAST","GRIFFIN, GA","153","DP 1553B2XF","1507","2",4.43,0.84,1.14,85,6.4,29.2,9.6,72.8,7.3,NA,NA
"71-009",17,"020","EAST","GRIFFIN, GA","153","DP 1538B2XF","1510","1",4.49,0.84,1.1,84.7,6.8,28.2,9.8,71.7,7.3,NA,NA
"71-010",17,"020","EAST","GRIFFIN, GA","153","DP 1538B2XF","1510","2",4.29,0.84,1.12,86.4,5.7,29,9.4,73.4,6.9,NA,NA
"71-003",17,"020","EAST","GRIFFIN, GA","153","DP 1646B2XF*","1516","1",3.96,0.84,1.26,86.2,5.8,29.2,8.8,72.1,5.8,63.843758339973,22.4619501588894
"71-004",17,"020","EAST","GRIFFIN, GA","153","DP 1646B2XF*","1516","2",4.29,0.84,1.24,86.4,5.9,30.1,9,73.5,6.6,68.8047672962327,10.7094821788837
"71-005",17,"020","EAST","GRIFFIN, GA","153","NG 4545B2XF*","1535","1",4.71,0.87,1.14,83.9,7.8,30.8,7,69.1,6.1,112.228305306616,12.1885521885522
"71-006",17,"020","EAST","GRIFFIN, GA","153","NG 4545B2XF*","1535","2",4.28,0.86,1.17,85,6.5,31.9,7.2,68.9,6.8,71.7958386533922,15.7010915197313
"71-007",17,"020","EAST","GRIFFIN, GA","153","PHY 764WRF*","1536","1",4.13,0.84,1.11,85.9,5.8,34.5,8.9,71.1,7.5,81.0354927667734,15.8922558922559
"71-008",17,"020","EAST","GRIFFIN, GA","153","PHY 764WRF*","1536","2",3.73,0.83,1.18,85.4,6.7,36,8.9,64,7.5,74.7281109039924,24.602906387293
"71-011",17,"020","EAST","GRIFFIN, GA","153","DP 1522B2XF","1537","1",4.74,0.85,1.16,84.5,6.7,30,9.9,65.8,6.7,NA,NA
"71-012",17,"020","EAST","GRIFFIN, GA","153","DP 1522B2XF","1537","2",4.13,0.83,1.17,85.6,6.4,29.8,9.6,68.7,7.3,NA,NA
"71-017",17,"020","EAST","GRIFFIN, GA","153","PHY 330W3FE","1542","1",3.61,0.83,1.24,85.9,5.8,33.8,8,71.6,7,NA,NA
"71-018",17,"020","EAST","GRIFFIN, GA","153","PHY 330W3FE","1542","2",3.98,0.84,1.14,84.4,7.4,30.8,7.9,72.4,6.7,NA,NA
"78-001",17,"020","EAST","SUFFOLK","166","PHY 499WRF*","1404","1",4.94,0.86,1.21,86.8,5.5,32.95,8.6,80.4,7.4,NA,NA
"78-002",17,"020","EAST","SUFFOLK","166","PHY 499WRF*","1404","2",4.94,0.86,1.2,86.5,5.8,31.9,8.7,78.45,7.15,NA,NA
"78-015",17,"020","EAST","SUFFOLK","166","PHY 444WRF","1459","1",4.01,0.85,1.3,87.2,4.8,30.6,7.2,82.45,7.15,NA,NA
"78-016",17,"020","EAST","SUFFOLK","166","PHY 444WRF","1459","2",4.35,0.86,1.32,85.8,4.7,29.65,7.9,80.05,7.2,NA,NA
"78-019",17,"020","EAST","SUFFOLK","166","ST 4946GLB2","1468","1",4.88,0.87,1.17,86.4,5.6,31,7.9,79,7.35,NA,NA
"78-020",17,"020","EAST","SUFFOLK","166","ST 4946GLB2","1468","2",5.13,0.87,1.17,86.7,5.4,30.05,8.2,80.25,7.55,NA,NA
"78-013",17,"020","EAST","SUFFOLK","166","DP 1553B2XF","1507","1",4.54,0.85,1.25,87,5.2,29.3,8.5,82.1,7.1,NA,NA
"78-014",17,"020","EAST","SUFFOLK","166","DP 1553B2XF","1507","2",4.74,0.86,1.25,87.4,5.4,29.2,8.1,82.45,6.6,NA,NA
"78-009",17,"020","EAST","SUFFOLK","166","DP 1538B2XF","1510","1",4.92,0.86,1.15,86.6,5.5,28.1,9.6,76.1,6.65,NA,NA
"78-010",17,"020","EAST","SUFFOLK","166","DP 1538B2XF","1510","2",4.84,0.86,1.18,86.8,5.4,30.6,8.6,81.6,6.95,NA,NA
"78-003",17,"020","EAST","SUFFOLK","166","DP 1646B2XF*","1516","1",4.58,0.86,1.32,86.3,4.6,29.05,8,81.05,6,NA,NA
"78-004",17,"020","EAST","SUFFOLK","166","DP 1646B2XF*","1516","2",4.57,0.86,1.28,86.8,5.4,29.75,8.3,79.75,6.1,NA,NA
"78-005",17,"020","EAST","SUFFOLK","166","NG 4545B2XF*","1535","1",4.79,0.87,1.23,86.4,5.5,32.45,7.2,78.8,7.1,NA,NA
"78-006",17,"020","EAST","SUFFOLK","166","NG 4545B2XF*","1535","2",4.89,0.87,1.19,85.2,6.1,32.1,7.1,80.95,7.1,NA,NA
"78-007",17,"020","EAST","SUFFOLK","166","PHY 764WRF*","1536","1",4.03,0.85,1.25,87.2,5.3,34,7.9,80.3,6.55,NA,NA
"78-008",17,"020","EAST","SUFFOLK","166","PHY 764WRF*","1536","2",3.96,0.85,1.25,85.4,6,33.5,8,80.75,6.9,NA,NA
"78-011",17,"020","EAST","SUFFOLK","166","DP 1522B2XF","1537","1",5.16,0.87,1.22,86.7,4.9,30.05,9.2,80.9,6.85,NA,NA
"78-012",17,"020","EAST","SUFFOLK","166","DP 1522B2XF","1537","2",5.15,0.87,1.21,86.6,5.3,27.55,8.4,81.5,6.35,NA,NA
"78-017",17,"020","EAST","SUFFOLK","166","PHY 330W3FE","1542","1",4.78,0.87,1.21,87,5.7,33.2,7.6,77.9,7.05,NA,NA
"78-018",17,"020","EAST","SUFFOLK","166","PHY 330W3FE","1542","2",4.47,0.86,1.2,86.3,5.8,31.1,7.8,79.5,7,NA,NA
"26-001",17,"030","CENTRAL","COLL STA-I","019","PHY 499WRF*","1404","1",4.79,0.86,1.18,85.3,6.3,31.65,8.7,77.2,6.85,83.7107435216984,7.86819098856759
"26-002",17,"030","CENTRAL","COLL STA-I","019","PHY 499WRF*","1404","2",4.73,0.86,1.2,87.1,5.4,30.5,8,80.65,7.6,75.9259657424327,6.19246861924687
"26-011",17,"030","CENTRAL","COLL STA-I","019","PHY 312WRF","1497","1",4.74,0.87,1.23,86.1,5.3,28.6,7.4,77.3,6.85,NA,NA
"26-012",17,"030","CENTRAL","COLL STA-I","019","PHY 312WRF","1497","2",4.54,0.86,1.26,86.9,5.5,29.65,7.3,80.55,6.65,NA,NA
"26-013",17,"030","CENTRAL","COLL STA-I","019","FM 1830GLT","1503","1",4.89,0.88,1.28,86.1,5.1,32.1,6.1,81.9,6.05,NA,NA
"26-014",17,"030","CENTRAL","COLL STA-I","019","FM 1830GLT","1503","2",4.55,0.87,1.28,86.1,5.2,32.25,6.1,81.4,6.2,NA,NA
"26-003",17,"030","CENTRAL","COLL STA-I","019","DP 1646B2XF*","1516","1",4.45,0.86,1.3,85.9,5,29.15,7.6,80.6,6.3,65.4800378303706,7.39565943238731
"26-004",17,"030","CENTRAL","COLL STA-I","019","DP 1646B2XF*","1516","2",4.76,0.86,1.29,85.9,5.1,28.9,7.9,82.15,6.3,72.7583727884376,5.28797574941058
"26-005",17,"030","CENTRAL","COLL STA-I","019","NG 4545B2XF*","1535","1",4.84,0.88,1.18,85.2,6,31.65,5.8,79.45,7.05,73.6529415015641,6.36729222520107
"26-006",17,"030","CENTRAL","COLL STA-I","019","NG 4545B2XF*","1535","2",5,0.88,1.18,84.3,6.4,31.25,6.2,79.4,7.45,82.271478367472,11.4228456913828
"26-007",17,"030","CENTRAL","COLL STA-I","019","PHY 764WRF*","1536","1",4.23,0.86,1.19,85.9,5.8,32.55,7.3,77.85,7.75,76.6934839672605,7.61378848728246
"26-008",17,"030","CENTRAL","COLL STA-I","019","PHY 764WRF*","1536","2",3.59,0.84,1.25,86.3,5.6,35.8,7.2,80.6,7.55,77.5332847094543,9.32019375313178
"26-009",17,"030","CENTRAL","COLL STA-I","019","DP 1522B2XF","1537","1",5.05,0.86,1.19,86.5,5.4,28.75,8.7,79.25,6.75,NA,NA
"26-010",17,"030","CENTRAL","COLL STA-I","019","DP 1522B2XF","1537","2",4.92,0.86,1.21,86.2,5.7,30.75,8.5,79.8,7,NA,NA
"26-015",17,"030","CENTRAL","COLL STA-I","019","DG 3385B2XF","1551","1",4.93,0.86,1.19,86.7,5.2,28.95,9.1,79.5,7.8,NA,NA
"26-016",17,"030","CENTRAL","COLL STA-I","019","DG 3385B2XF","1551","2",4.87,0.86,1.23,86.2,5.2,28.8,8.4,80.65,7.35,NA,NA
"26-017",17,"030","CENTRAL","COLL STA-I","019","NG 4601B2XF","1552","1",5.17,0.88,1.2,85.8,5.4,33.45,7.4,80.05,7,NA,NA
"26-018",17,"030","CENTRAL","COLL STA-I","019","NG 4601B2XF","1552","2",4.79,0.87,1.21,86.5,5.3,32.6,7.5,80.7,6.75,NA,NA
"26-019",17,"030","CENTRAL","WESLACO-I","021","PHY 499WRF*","1404","1",5.13,0.87,1.17,85.8,6,29.7,8.2,77.55,7.05,86.8663703793859,11.2289562289562
"26-020",17,"030","CENTRAL","WESLACO-I","021","PHY 499WRF*","1404","2",5.1,0.87,1.17,85.9,6.1,28.9,8.2,77.6,7,87.1878112430099,8.27181208053691
"26-029",17,"030","CENTRAL","WESLACO-I","021","PHY 312WRF","1497","1",4.99,0.87,1.22,85.9,5.6,31.45,7.6,76.8,7.5,NA,NA
"26-030",17,"030","CENTRAL","WESLACO-I","021","PHY 312WRF","1497","2",4.86,0.87,1.2,86.3,5.7,29.8,7.1,77.25,7.55,NA,NA
"26-031",17,"030","CENTRAL","WESLACO-I","021","FM 1830GLT","1503","1",4.9,0.88,1.24,84.3,6.6,29.65,6.5,80.8,6.05,NA,NA
"26-032",17,"030","CENTRAL","WESLACO-I","021","FM 1830GLT","1503","2",4.69,0.87,1.25,84.5,6.5,30.75,6.2,79.65,5.85,NA,NA
"26-021",17,"030","CENTRAL","WESLACO-I","021","DP 1646B2XF*","1516","1",4.81,0.87,1.29,86.8,5.2,29.75,7.8,79.7,7.55,84.8288230702373,5.92630327729666
"26-022",17,"030","CENTRAL","WESLACO-I","021","DP 1646B2XF*","1516","2",4.8,0.86,1.28,85.8,5.4,29.15,8.1,81.05,7.3,67.9396681030503,8.81072026800671
"26-023",17,"030","CENTRAL","WESLACO-I","021","NG 4545B2XF*","1535","1",5.1,0.88,1.17,84.4,6,29.1,6,76.6,6.75,68.7185133044554,9.25553319919518
"26-024",17,"030","CENTRAL","WESLACO-I","021","NG 4545B2XF*","1535","2",4.78,0.88,1.16,85.1,6.5,29.2,6.1,78.75,7.75,87.193338980208,6.48584905660378
"26-025",17,"030","CENTRAL","WESLACO-I","021","PHY 764WRF*","1536","1",4.13,0.85,1.24,86.5,5.5,34.65,7.2,78.7,8.1,89.2257629388594,6.68458179375209
"26-026",17,"030","CENTRAL","WESLACO-I","021","PHY 764WRF*","1536","2",4.21,0.86,1.21,84.2,6.3,31.8,6.8,77.55,7.65,68.9673491163373,24.5267213938683
"26-027",17,"030","CENTRAL","WESLACO-I","021","DP 1522B2XF","1537","1",5.4,0.87,1.19,84.9,6.2,29.05,8.6,77.65,7.1,NA,NA
"26-028",17,"030","CENTRAL","WESLACO-I","021","DP 1522B2XF","1537","2",5.01,0.87,1.2,85.2,5.9,29.05,8.5,78,7,NA,NA
"26-033",17,"030","CENTRAL","WESLACO-I","021","DG 3385B2XF","1551","1",5.14,0.87,1.15,85.4,6.3,28.55,8,79.7,7.85,NA,NA
"26-034",17,"030","CENTRAL","WESLACO-I","021","DG 3385B2XF","1551","2",4.98,0.86,1.18,85.9,5.3,27.15,8.8,78.1,7.2,NA,NA
"26-035",17,"030","CENTRAL","WESLACO-I","021","NG 4601B2XF","1552","1",5.3,0.88,1.2,85.7,5.9,31.15,7.4,79.45,7.4,NA,NA
"26-036",17,"030","CENTRAL","WESLACO-I","021","NG 4601B2XF","1552","2",5.23,0.88,1.22,84.2,6.7,32.25,7.4,78.55,6.8,NA,NA
"26-037",17,"030","CENTRAL","C CHRISTI-D","195","PHY 499WRF*","1404","1",4.6,0.86,1.1,83.7,6.8,30.4,8,73.85,7.75,80.0384306257287,6.6588195728939
"26-038",17,"030","CENTRAL","C CHRISTI-D","195","PHY 499WRF*","1404","2",4.77,0.86,1.11,84.4,6.7,29.3,8.1,73.15,7.35,77.31405,12.2651006711409
"26-047",17,"030","CENTRAL","C CHRISTI-D","195","PHY 312WRF","1497","1",4.51,0.86,1.14,84.7,6.8,28.85,7.2,72.05,6.75,NA,NA
"26-048",17,"030","CENTRAL","C CHRISTI-D","195","PHY 312WRF","1497","2",4.47,0.86,1.12,84,7.2,28.55,7.1,73.8,6.95,NA,NA
"26-049",17,"030","CENTRAL","C CHRISTI-D","195","FM 1830GLT","1503","1",4.72,0.87,1.25,84.4,6.4,30.6,6.1,76.15,6.75,NA,NA
"26-050",17,"030","CENTRAL","C CHRISTI-D","195","FM 1830GLT","1503","2",4.73,0.87,1.22,83.4,6.7,31.05,6.3,74.95,6.35,NA,NA
"26-039",17,"030","CENTRAL","C CHRISTI-D","195","DP 1646B2XF*","1516","1",4.73,0.86,1.17,82.3,8.2,27.9,8.1,75.45,7.1,72.7433770134514,7.63179916317992
"26-040",17,"030","CENTRAL","C CHRISTI-D","195","DP 1646B2XF*","1516","2",4.7,0.86,1.18,82.8,7.1,28,8.2,74.85,6.95,66.2932618412331,8.69783810960282
"26-041",17,"030","CENTRAL","C CHRISTI-D","195","NG 4545B2XF*","1535","1",4.52,0.87,1.13,84.4,7.1,29.4,6.4,73.8,7.05,69.4374627548307,13.5493619879113
"26-042",17,"030","CENTRAL","C CHRISTI-D","195","NG 4545B2XF*","1535","2",4.66,0.87,1.14,82.6,7.4,28,6.2,74.75,7.25,88.7808273181566,8.94472361809046
"26-043",17,"030","CENTRAL","C CHRISTI-D","195","PHY 764WRF*","1536","1",4.07,0.85,1.2,86.3,6,32.45,7.3,75.5,7.45,82.3129786882872,8.07432432432433
"26-044",17,"030","CENTRAL","C CHRISTI-D","195","PHY 764WRF*","1536","2",3.96,0.85,1.18,84.4,6.7,32.55,7.3,72.85,7.25,74.9502039671408,9.3860386879731
"26-045",17,"030","CENTRAL","C CHRISTI-D","195","DP 1522B2XF","1537","1",5.05,0.86,1.14,84.3,6.9,29.05,9.1,72.7,7.05,NA,NA
"26-046",17,"030","CENTRAL","C CHRISTI-D","195","DP 1522B2XF","1537","2",4.89,0.86,1.1,83.4,6.9,29.45,9,73.25,7.4,NA,NA
"26-051",17,"030","CENTRAL","C CHRISTI-D","195","DG 3385B2XF","1551","1",4.47,0.85,1.16,84.1,6.8,29.3,8.2,72.45,7.2,NA,NA
"26-052",17,"030","CENTRAL","C CHRISTI-D","195","DG 3385B2XF","1551","2",4.92,0.86,1.14,83.1,6.9,27.7,8.2,73.65,7.75,NA,NA
"26-053",17,"030","CENTRAL","C CHRISTI-D","195","NG 4601B2XF","1552","1",5.32,0.88,1.12,84.3,7.2,30.35,7.1,74.2,6.95,NA,NA
"26-054",17,"030","CENTRAL","C CHRISTI-D","195","NG 4601B2XF","1552","2",5.14,0.88,1.1,81.7,9,28.65,7,73.05,7.15,NA,NA
"84-001",17,"040","DELTA","STONEVILLE","025","PHY 499WRF*","1404","1",4.73047317675874,0.860937010423369,1.14968096481101,86.2673195743022,7.30516109231374,34.3423491817394,8.16642769214018,71.0366951436685,7.13879224382712,72.8078893845997,15.5855096882898
"84-002",17,"040","DELTA","STONEVILLE","025","PHY 499WRF*","1404","2",5.13050851894219,0.867816709070843,1.11142738462549,84.6839826701963,7.15126415412992,31.4497925982831,8.39269303142353,76.8839472569567,7.90644582911002,84.8900926729291,9.40978077571669
"84-017",17,"040","DELTA","STONEVILLE","025","PHY 444WRF","1459","1",4.22419135763362,0.852323278026301,1.25310879001647,87.2923450847574,6.30169142053363,31.9775617551372,7.50198286906118,74.8105124596239,6.5795016886316,NA,NA
"84-018",17,"040","DELTA","STONEVILLE","025","PHY 444WRF","1459","2",4.06009624709107,0.848543129580417,1.29016120329291,87.1860299375942,5.92457604123897,33.4713154245607,7.56581386565113,74.9350458138189,6.8035037854373,NA,NA
"84-013",17,"040","DELTA","STONEVILLE","025","DP 1555B2XF","1501","1",4.83060017551843,0.862630396474715,1.19083106418149,84.8822134189388,7.40797560215706,32.9952935556467,8.18947075780719,75.7638381793643,6.37575007532617,NA,NA
"84-014",17,"040","DELTA","STONEVILLE","025","DP 1555B2XF","1501","2",5.15127350424134,0.87398936413108,1.15867568018568,85.5015936149939,7.80167183998925,34.4767931767008,7.75874018236388,78.1251341379308,7.40358081036118,NA,NA
"84-003",17,"040","DELTA","STONEVILLE","025","DP 1646B2XF*","1516","1",4.45513351445296,0.851861173226061,1.26189186919446,85.2019296775243,7.15121322332277,31.6052664237918,8.35000927681769,73.7560539467984,5.90500178109743,78.4345119865553,13.0743243243243
"84-004",17,"040","DELTA","STONEVILLE","025","DP 1646B2XF*","1516","2",4.88973433027868,0.863201591203869,1.2714600493726,85.405895797788,6.77545986811257,30.6875894290734,8.17336855560154,78.3902141850732,6.72936147380399,81.0574731900489,10.7588532883642
"84-019",17,"040","DELTA","STONEVILLE","025","ST 4949GLT","1528","1",4.76855901334714,0.861894296082343,1.13723322557213,84.2859761569734,7.66433968178111,31.0997013739983,7.96483634830009,72.4158076032272,6.9069843560908,NA,NA
"84-020",17,"040","DELTA","STONEVILLE","025","ST 4949GLT","1528","2",4.70632458863025,0.860732783648809,1.14009045579749,85.5028164502007,7.07316932837987,28.5953955848539,7.76398912941455,73.2078071832731,7.07344930080941,NA,NA
"84-009",17,"040","DELTA","STONEVILLE","025","DP 1518B2XF","1529","1",4.9441118774176,0.869428475330353,1.17735863749963,85.8277649636799,7.73803073929909,30.7905797351047,7.4716586623631,75.5750364807278,6.18458398446486,NA,NA
"84-010",17,"040","DELTA","STONEVILLE","025","DP 1518B2XF","1529","2",4.85291877518675,0.865519740397126,1.14623170317218,83.5191167222335,8.49792576876661,29.9766900718154,7.66815375238454,78.0520963508064,6.07372870550017,NA,NA
"84-015",17,"040","DELTA","STONEVILLE","025","NG 3406B2XF","1530","1",4.67201565164134,0.852304074005784,1.15558092881476,86.429215575811,6.54552114788067,28.5302728568472,8.85512085558303,76.3677271709363,6.80433788086144,NA,NA
"84-016",17,"040","DELTA","STONEVILLE","025","NG 3406B2XF","1530","2",5.18516138623584,0.866746389888328,1.13260068602237,85.486198804725,7.15855405417346,29.4079601654283,8.61360986637032,78.5569258797813,6.97257081018841,NA,NA
"84-005",17,"040","DELTA","STONEVILLE","025","NG 4545B2XF*","1535","1",5.03631290544068,0.876707528986398,1.11389665981684,82.2907953677516,9.44819522263801,34.4219758641636,6.96354764726194,75.6721659391247,7.34109376438876,95.9377959938367,10.9797297297297
"84-006",17,"040","DELTA","STONEVILLE","025","NG 4545B2XF*","1535","2",5.29541272680384,0.88148591209755,1.09490400918224,84.2221092524604,8.48874015039095,31.0889552383464,6.9753055593856,77.2969612194041,6.79913606963003,76.2370650488953,10.4432505036938
"84-007",17,"040","DELTA","STONEVILLE","025","PHY 764WRF*","1536","1",4.15476387260318,0.851322866849983,1.23325257855011,86.730607038158,6.43315665367871,37.0176035352656,7.70945559033453,77.333134557885,7.24324789571305,83.506568018852,9.43364611260054
"84-008",17,"040","DELTA","STONEVILLE","025","PHY 764WRF*","1536","2",3.55964546149053,0.838802735792456,1.21288562064217,85.5726054342881,7.3662158345541,39.6964273915751,7.60386139216372,79.5210227095486,7.98365297868042,80.3209400321027,13.2663316582915
"84-011",17,"040","DELTA","STONEVILLE","025","DP 1522B2XF","1537","1",5.06566003566375,0.861780165174858,1.1482290211228,85.4295692834207,7.01175750297809,31.7694956000725,9.05610510645657,74.4315985051694,6.79486274996618,NA,NA
"84-012",17,"040","DELTA","STONEVILLE","025","DP 1522B2XF","1537","2",5.28235307057437,0.867533856085637,1.18696881889152,86.7068202222405,6.98048797361058,31.3509077953359,8.95607714315287,76.9260539343258,6.44694099261593,NA,NA
"69-001",17,"040","DELTA","JACKSON","030","PHY 499WRF*","1404","1",4.48,0.86,1.3,85.4,5.7,29.85,6.8,79.8,6.85,73.1691184337865,7.89339670684094
"69-002",17,"040","DELTA","JACKSON","030","PHY 499WRF*","1404","2",4.64,0.87,1.28,84.8,6.8,31.05,7.1,80.45,6.25,69.944304142177,8.82352941176471
"69-017",17,"040","DELTA","JACKSON","030","PHY 444WRF","1459","1",4.37,0.86,1.27,86.5,6,34.35,7.9,76.5,6.05,NA,NA
"69-018",17,"040","DELTA","JACKSON","030","PHY 444WRF","1459","2",4.43,0.86,1.28,85.4,6.5,33.7,7.5,77.3,6.4,NA,NA
"69-013",17,"040","DELTA","JACKSON","030","DP 1555B2XF","1501","1",4.91,0.87,1.22,84.8,7.3,33.1,7.9,79.85,6.15,NA,NA
"69-014",17,"040","DELTA","JACKSON","030","DP 1555B2XF","1501","2",4.94,0.86,1.23,84.8,7.2,33.65,8.5,80.45,6.65,NA,NA
"69-003",17,"040","DELTA","JACKSON","030","DP 1646B2XF*","1516","1",4.8,0.86,1.27,83.4,6.7,29.7,8.2,78.05,5.75,65.3445372728761,8.55506904681712
"69-004",17,"040","DELTA","JACKSON","030","DP 1646B2XF*","1516","2",5.04,0.87,1.25,82.5,7.8,30.75,8.4,77.65,5.5,68.781319923461,8.11901159858801
"69-019",17,"040","DELTA","JACKSON","030","ST 4949GLT","1528","1",4.53,0.86,1.17,84.4,6.9,30.45,8.2,77.2,6.2,NA,NA
"69-020",17,"040","DELTA","JACKSON","030","ST 4949GLT","1528","2",4.87,0.86,1.18,84.5,7.3,29.8,8.2,77.8,6.05,NA,NA
"69-009",17,"040","DELTA","JACKSON","030","DP 1518B2XF","1529","1",4.74,0.87,1.18,83,8.3,28.7,7.5,76,4.95,NA,NA
"69-010",17,"040","DELTA","JACKSON","030","DP 1518B2XF","1529","2",4.92,0.87,1.18,84,7.7,30.6,8,77.65,5.2,NA,NA
"69-015",17,"040","DELTA","JACKSON","030","NG 3406B2XF","1530","1",4.91,0.86,1.19,84.4,6.8,31.55,8.6,77.25,5.6,NA,NA
"69-016",17,"040","DELTA","JACKSON","030","NG 3406B2XF","1530","2",4.88,0.85,1.15,83.7,8.3,28.25,9.6,75.9,5.5,NA,NA
